Sigla;Unidade da Federação;Num_Coments
RO;Rondônia;"8,9"
AC;Acre;"13,1"
AM;Amazonas;"14,4"
RR;Roraima;14
PA;Pará;"10,2"
AP;Amapá;"19,6"
TO;Tocantins;"10,4"
MA;Maranhão;"14,1"
PI;Piauí;"12,3"
CE;Ceará;"10,1"
RN;Rio Grande do Norte;"13,4"
PB;Paraíba;11
PE;Pernambuco;"15,5"
AL;Alagoas;"15,9"
SE;Sergipe;15
BA;Bahia;"17,4"
MG;Minas Gerais;"9,7"
ES;Espírito Santo;"10,2"
RJ;Rio de Janeiro;"14,8"
SP;São Paulo;"12,4"
PR;Paraná;"7,8"
SC;Santa Catarina;"6,4"
RS;Rio Grande do Sul;"7,4"
MS;Mato Grosso do Sul;7
MT;Mato Grosso;"6,9"
GO;Goiás;"8,2"
DF;Distrito Federal;"12,1"
